Time,x,y,z
252.0,-201.74252932828765,-98.41904232689323,-110.39788134138466
253.0,-198.7486504185112,-98.61002436074837,-110.41254204874673
254.0,-195.7534545871282,-98.77905503462094,-110.42772634840617
255.0,-192.77375642918503,-99.11802196082853,-110.50835085142772
256.0,-195.6719362193275,-99.57653004237203,-111.13311019963228
257.0,-198.43516719063783,-100.49466348048473,-111.85531902608821
258.0,-201.18081247477014,-101.50812996422789,-112.5143468404112
259.0,-203.93246706670698,-102.51999649433719,-113.15036817017737
260.0,-205.26502600675119,-104.94591769362668,-114.30760323970564
261.0,-202.94211438739023,-106.65039406391575,-115.14357088965635
262.0,-205.03457119249947,-108.56777746472224,-116.11581849858314
263.0,-202.07136922871967,-108.91901996109165,-116.42575854213312
264.0,-204.81369993190208,-109.8595341048148,-117.19715692159721
265.0,-207.55603063508448,-110.80004824853795,-117.9685553010613
266.0,-210.12071197226837,-112.06870682560549,-118.87017332080895
267.0,-212.8581768370214,-113.05317554509242,-119.60304947309827
268.0,-215.77810684824507,-113.22102633712537,-120.27075812301175
269.0,-218.6679759046404,-113.70981110155564,-120.9108724026132
270.0,-215.67188578159903,-113.86263501482394,-120.92029716507083
271.0,-218.67157096500512,-113.90609219257786,-120.92082076384378
272.0,-215.7006004654105,-114.19687488865232,-121.21878001307469
273.0,-212.75324553949423,-114.47081158417406,-121.70669150865935
274.0,-215.5680447591556,-115.31957757196237,-122.30376910074217
275.0,-218.03373589886067,-116.72769454258695,-123.27205304701987
276.0,-220.9361298261239,-117.03223628688495,-123.96729675750234
277.0,-217.98624395201745,-117.41012538265733,-124.36147078130843
278.0,-215.00234566163863,-117.71848127499521,-124.39707466220403
279.0,-212.06137711271973,-117.73593353853697,-124.98902010966276
280.0,-213.9690169329717,-119.7238124648398,-126.17613749667643
281.0,-216.68505342211316,-119.98055350356213,-127.42402764756629
282.0,-219.49545390565132,-120.43221612967109,-128.37147157430013
283.0,-216.9056518347949,-121.91601008020095,-128.673598610758
284.0,-219.0596348982003,-123.88011105649474,-129.38258684583982
285.0,-221.34180672152226,-125.77749959218025,-129.8203179430725
286.0,-218.3591344165899,-126.09888815371248,-129.83969096311964
287.0,-215.4731275055341,-126.80936192354028,-130.2473564285749
288.0,-212.79509237500662,-127.43403855002876,-131.44648400810078
289.0,-215.5546450456277,-127.67935115673875,-132.59743612832875
290.0,-218.38040611207006,-128.67945063205124,-132.71940102023677
291.0,-221.35246792728097,-129.0707299930079,-132.83665727062282
292.0,-224.337989665756,-129.1655969778416,-133.11533307560356
293.0,-227.16966142098704,-130.11966032616365,-133.38253748802072
294.0,-229.65556031356562,-131.58162998771624,-134.20894622743265
295.0,-230.02013073552317,-134.37340555021208,-135.24484082442825
296.0,-228.20025236734872,-136.6111689464748,-136.06973942874126
297.0,-231.04352662567462,-137.1917070700562,-136.83050679069234
298.0,-228.30647578335999,-138.27648749307767,-137.4065312002569
299.0,-231.05145908820518,-139.2880768489648,-138.0711766931153
300.0,-233.2610065947007,-141.12769613239925,-138.9277400057523
301.0,-236.06785012003175,-141.7824185161715,-139.7601870157744
302.0,-238.76322868294005,-143.0871569732183,-139.94071945418227
303.0,-235.7744841536018,-143.34338276433277,-139.98260599519972
304.0,-238.61481806826322,-144.0405100704602,-140.65082510019127
305.0,-238.47576094406298,-146.88373962247994,-141.59777221103258
306.0,-237.1917245841726,-149.2232604676506,-142.96813451403548
307.0,-234.73512682602723,-150.63073671204788,-143.96017185009325
308.0,-237.67363781570367,-150.91678918472624,-144.49245668589577
309.0,-240.67255259059144,-150.99741364354048,-144.49559827797518
310.0,-243.66592974024837,-151.1951840633749,-144.51968356290638
311.0,-246.66567948528908,-151.23392929498576,-144.5202071616793
312.0,-249.66555593331168,-151.26115605754177,-144.5202071616793
313.0,-252.6635565569478,-151.37056379988982,-144.5249195487218
314.0,-255.62070350241598,-151.73889592288623,-144.87077123669974
315.0,-252.71778107987052,-152.15255989558702,-145.5047456260659
316.0,-255.64147864503013,-152.31499623352133,-146.15713123565448
317.0,-258.6387484292183,-152.44271528419893,-146.16498520831672
318.0,-261.60922507405184,-152.84381157294848,-146.28904273388383
319.0,-264.6068826319436,-152.9621138603662,-146.29637310944787
320.0,-267.60413263574617,-153.09035614074062,-146.3031798876904
321.0,-270.59306363390385,-153.3465979178721,-146.3283123349347
322.0,-273.5915638998284,-153.4413534417143,-146.33250112377846
323.0,-276.59143555019375,-153.46910378106472,-146.33250112377846
324.0,-279.5523119044825,-153.95131311612312,-146.3586807302736
325.0,-282.25488944286184,-155.2508141632446,-146.44453920439048
326.0,-284.0072433997825,-156.27070852079726,-148.65566360367168
327.0,-286.1261682743049,-157.04067790075624,-150.63488176498078
328.0,-288.0582468788128,-158.06366086339244,-152.6892863317979
329.0,-289.68152673023525,-159.42237828183036,-154.81504490247315
330.0,-286.9857305547717,-160.6001426714111,-155.4028833352007
331.0,-288.7928285863351,-161.37093530148982,-157.67010088668005
332.0,-290.6530700369807,-162.76257370645615,-159.5682168723676
333.0,-292.43454643130303,-164.15491639353303,-161.53994801484515
334.0,-294.29029548802833,-165.5195961509997,-163.46188573444584
335.0,-295.99819782887505,-167.0205532476925,-165.41897474315692
336.0,-297.6855091594414,-168.47289499063456,-167.4298660717599
337.0,-299.3157927821239,-169.9910325750306,-169.439202674835
338.0,-301.0281805063239,-171.47434935225854,-171.40579862225357
339.0,-302.1770857204125,-173.26946151643915,-173.51709896257725
